trimestre,faixa_etaria,sexo_p,total_obitos,idade_media
1º Trimestre,adulto,Feminino,5,50.6
1º Trimestre,adulto,Masculino,12,41.9
1º Trimestre,crianca,Masculino,1,5
1º Trimestre,idoso,Feminino,16,82.8
1º Trimestre,idoso,Masculino,18,77.9
2º Trimestre,adolescente,Feminino,1,17
2º Trimestre,adulto,Feminino,4,45
2º Trimestre,adulto,Masculino,22,42
2º Trimestre,crianca,Feminino,2,0.5
2º Trimestre,crianca,Masculino,2,0.5
2º Trimestre,idoso,Feminino,24,81.8
2º Trimestre,idoso,Masculino,22,74.8
3º Trimestre,adulto,Feminino,5,50.4
3º Trimestre,adulto,Masculino,13,42.7
3º Trimestre,crianca,Masculino,1,0
3º Trimestre,idoso,Feminino,21,83.3
3º Trimestre,idoso,Masculino,22,79.5
4º Trimestre,adolescente,Feminino,1,14
4º Trimestre,adulto,Feminino,8,47.8
4º Trimestre,adulto,Masculino,8,44.9
4º Trimestre,crianca,Masculino,1,0
4º Trimestre,idoso,Feminino,24,82.6
4º Trimestre,idoso,Masculino,28,76.8
